"Country","desempleo"
"Bosnia and Herzegovina",34.38
"Namibia",34
"Angola",32
"South Africa",29.1
"Nigeria",23.1
"Palestine",25
"Mozambique",24.37
"Kosovo",25.9
"Costa Rica",12.5
"Lesotho",23.6
"Jordan",19.3
"Swaziland",22.5
"Colombia",19.8
"Armenia",17.1
"Gabon",19.5
"Ethiopia",16.9
"Senegal",15.1
"Montenegro",18.26
"Greece",17.3
"Botswana",17.9
"Tunisia",15.1
"Libya",17.3
"Macedonia",16.2
"Peru",16.4
"Rwanda",16
"Spain",14.41
"Lithuania",12.8
"Haiti",13.5
"Sao Tome and Principe",13.3
"Turkey",12.9
"Brazil",12.9
"Zambia",11.4
"Argentina",10.4
"Chile",12.2
"Sudan",12.9
"Yemen",12.9
"Georgia",13.9
"Albania",11.9
"Morocco",10.5
"Guyana",11.9
"New Caledonia",11.6
"Algeria",11.7
"Cape Verde",12.2
"Afghanistan",11.1
"India",23.5
"Uruguay",10.7
"Iran",10.9
"Kenya",5.2
"Republic of the Congo",10.4
"Mauritania",10.31
"Canada",10.9
"Philippines",17.7
"Ukraine",8.6
"Mali",9.6
"Italy",9.3
"Tanzania",9.9
"Egypt",7.7
"Bahamas",10.7
"Equatorial Guinea",9.2
"Slovenia",9.2
"Brunei",8.9
"Austria",9.2
"Croatia",9
"Barbados",9.5
"Gambia",8.9
"Sweden",8.9
"Latvia",7.4
"Puerto Rico",9.6
"Syria",8.3
"United States",10.2
"Mongolia",9.9
"Bulgaria",8.3
"Iraq",7.9
"Belize",9.4
"Finland",7.7
"Slovakia",7.7
"Suriname",7.6
"Jamaica",7.2
"Serbia",9.7
"Estonia",5
"France",7.8
"Mauritius",6.4
"Panama",6
"Cyprus",9.8
"Australia",7.5
"Ghana",6.7
"Central African Republic",6.5
"Eritrea",6.5
"Luxembourg",6.6
"Maldives",6.1
"Russia",6.3
"Venezuela",7.3
"El Salvador",6.4
"Lebanon",6.2
"Burkina Faso",6.1
"Hong Kong",6.1
"Poland",6.1
"Iceland",6.4
"Dominican Republic",5.9
"Honduras",5.7
"Paraguay",6.2
"Saudi Arabia",5.7
"Sri Lanka",4.5
"China",5.7
"Portugal",6.7
"Belgium",5.5
"Uzbekistan",5.2
"Malawi",5.4
"Romania",5.3
"Denmark",5.5
"Ireland",5.1
"Norway",5.2
"Kazakhstan",5
"Indonesia",5.28
"Ecuador",5.9
"Israel",4.7
"Zimbabwe",4.9
"Azerbaijan",5.2
"Hungary",4.6
"Nicaragua",4.9
"Malaysia",4.9
"Netherlands",4.5
"Trinidad and Tobago",3.8
"Germany",4.3
"Guinea",4.2
"Sierra Leone",4.3
"Bangladesh",4.3
"Fiji",4.2
"Moldova",4.1
"Guinea-Bissau",4.1
"Pakistan",5.5
"United Kingdom",3.9
"New Zealand",4.2
"Bahrain",3.7
"Turkmenistan",3.8
"Taiwan",3.9
"Czech Republic",3.8
"Comoros",3.7
"Bolivia",3
"Cayman Islands",2.8
"Seychelles",4.1
"Bhutan",2.4
"Cameroon",3.4
"Malta",3.2
"North Korea",3.3
"Switzerland",3.2
"Nepal",3.4
"South Korea",4.2
"Kyrgyzstan",3.1
"Oman",3.1
"East Timor",3
"Japan",2.8
"Mexico",3.6
"Macau",2.7
"Singapore",2.4
"Vietnam",2.22
"United Arab Emirates",2.57
"Ivory Coast",2.5
"Papua New Guinea",2.4
"Chad",2.2
"Kuwait",2.06
"Tajikistan",2.1
"Benin",2.1
"Guatemala",2.5
"Liberia",2
"Thailand",2.1
"Uganda",1.7
"Cuba",1.7
"Faroe Islands",1.7
"Liechtenstein",1.9
"Togo",1.7
"Madagascar",1.7
"Myanmar",1
"Burundi",1.4
"Cambodia",0.7
"Laos",0.6
"Niger",0.3
"Belarus",0.2
"Qatar",0.1
